best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4492240995168686,0.08312688052654282,rms,1162914961,500,2.3660972189903258,2.4492240995168686
1000,2.4065079018473625,0.05795526951551455,rms,1162914961,1000,2.348552632331848,2.4065079018473625
1500,2.0288719534873962,0.025239796638488965,rms,1162914961,1500,2.0036321568489073,2.0288719534873962
2000,1.5724518150091171,0.15588124215602872,rms,1162914961,2000,1.4165705728530884,1.5724518150091171
2500,1.4947397373616695,0.2654950092732906,rms,1162914961,2500,1.229244728088379,1.4947397373616695
3000,1.3875878974795341,0.27150535196065895,rms,1162914961,3000,1.1160825455188752,1.3875878974795341
3000,1.3875878974795341,0.48625616043806086,rms,1162914961,3500,1.0334877961874007,1.5197439566254616
3000,1.3875878974795341,0.514441909044981,rms,1162914961,4000,0.9338422363996506,1.4482841454446316
3000,1.3875878974795341,0.6181661549210549,rms,1162914961,4500,0.8441984516382217,1.4623646065592766
3000,1.3875878974795341,0.879198402017355,rms,1162914961,5000,0.7566397899389267,1.6358381919562817
