best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4418728426098824,0.07148324042558674,meanabs,2022903755,500,2.3703896021842956,2.4418728426098824
1000,2.4140361174941063,0.06483917087316504,meanabs,2022903755,1000,2.3491969466209413,2.4140361174941063
1500,2.384149454534054,0.06615423291921596,meanabs,2022903755,1500,2.317995221614838,2.384149454534054
2000,1.7833715602755547,0.0875075873732567,meanabs,2022903755,2000,1.695863972902298,1.7833715602755547
2500,1.5108190290629864,0.1638683478534222,meanabs,2022903755,2500,1.3469506812095642,1.5108190290629864
3000,1.4976848103106022,0.3014557780325413,meanabs,2022903755,3000,1.1962290322780609,1.4976848103106022
3500,1.3832427561283112,0.28035258591175083,meanabs,2022903755,3500,1.1028901702165603,1.3832427561283112
3500,1.3832427561283112,0.43482488974928857,meanabs,2022903755,4000,1.0122520232200622,1.4470769129693508
3500,1.3832427561283112,0.4788020564615727,meanabs,2022903755,4500,0.9460306787490844,1.4248327352106571
3500,1.3832427561283112,0.6219062429666519,meanabs,2022903755,5000,0.8653332966566086,1.4872395396232605
