best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4202040284872055,-0.009003604054450776,meanabs,1225032379,500,2.4292076325416563,2.4202040284872055
1000,2.272647224366665,0.004091952741146265,meanabs,1225032379,1000,2.2685552716255186,2.272647224366665
1500,1.9951949194073677,0.06306458741426457,meanabs,1225032379,1500,1.9321303319931031,1.9951949194073677
2000,1.588276106864214,0.12210206583142291,meanabs,1225032379,2000,1.466174041032791,1.588276106864214
2500,1.1579492073506117,0.08477372936904426,meanabs,1225032379,2500,1.0731754779815674,1.1579492073506117
3000,1.001443263143301,0.1527543680369854,meanabs,1225032379,3000,0.8486888951063156,1.001443263143301
3500,0.885522773489356,0.13015936218202118,meanabs,1225032379,3500,0.7553634113073349,0.885522773489356
4000,0.834630411118269,0.13949544772505762,meanabs,1225032379,4000,0.6951349633932113,0.834630411118269
4500,0.7940881010144949,0.17744167380034925,meanabs,1225032379,4500,0.6166464272141456,0.7940881010144949
5000,0.7622128147631884,0.1715648297220469,meanabs,1225032379,5000,0.5906479850411415,0.7622128147631884
