best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.466007560491562,0.03162836074829123,meanabs,130604721,500,2.4343791997432707,2.466007560491562
1000,2.2832682095468044,0.03069555506110211,meanabs,130604721,1000,2.2525726544857023,2.2832682095468044
1500,2.017395168542862,0.0719867241382599,meanabs,130604721,1500,1.945408444404602,2.017395168542862
2000,1.5677842125296593,0.11281522840261449,meanabs,130604721,2000,1.4549689841270448,1.5677842125296593
2500,1.0986241400241852,0.07728681325912468,meanabs,130604721,2500,1.0213373267650605,1.0986241400241852
3000,0.9727559257298708,0.161310738697648,meanabs,130604721,3000,0.8114451870322228,0.9727559257298708
3500,0.8503619935363531,0.11986842922866348,meanabs,130604721,3500,0.7304935643076896,0.8503619935363531
4000,0.8376239500939846,0.14697414293885236,meanabs,130604721,4000,0.6906498071551322,0.8376239500939846
4500,0.8209479320794344,0.173363339677453,meanabs,130604721,4500,0.6475845924019814,0.8209479320794344
5000,0.7791286446154118,0.2018541274964809,meanabs,130604721,5000,0.5772745171189309,0.7791286446154118
