best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4290391504764557,-0.000746210813522552,meanabs,273318888,500,2.4297853612899782,2.4290391504764557
1000,2.3307712748646736,0.06933330446481722,meanabs,273318888,1000,2.2614379703998564,2.3307712748646736
1500,1.9869719594717026,0.0047876793146133245,meanabs,273318888,1500,1.9821842801570893,1.9869719594717026
2000,1.5572257153689861,0.05519276782870297,meanabs,273318888,2000,1.5020329475402832,1.5572257153689861
2500,1.2131387330591679,0.10928368881344785,meanabs,273318888,2500,1.10385504424572,1.2131387330591679
3000,0.9670163299888372,0.07929748617112642,meanabs,273318888,3000,0.8877188438177108,0.9670163299888372
3500,0.8751957975327969,0.13742079839110377,meanabs,273318888,3500,0.7377749991416931,0.8751957975327969
4000,0.8297668620944023,0.1550810322165489,meanabs,273318888,4000,0.6746858298778534,0.8297668620944023
4500,0.7996844351291656,0.17534989625215536,meanabs,273318888,4500,0.6243345388770103,0.7996844351291656
5000,0.7776400242000818,0.17555117107927798,meanabs,273318888,5000,0.6020888531208038,0.7776400242000818
