best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.464917592704296,0.09794118136167507,rms,922641176,500,2.366976411342621,2.464917592704296
1000,2.441586546599865,0.08916278809308986,rms,922641176,1000,2.352423758506775,2.441586546599865
1500,2.2555143609642982,0.00942902475595453,rms,922641176,1500,2.2460853362083437,2.2555143609642982
2000,1.6285983696579933,0.11371475964784628,rms,922641176,2000,1.514883610010147,1.6285983696579933
2500,1.5282826758921146,0.2701736702024937,rms,922641176,2500,1.258109005689621,1.5282826758921146
3000,1.4213853776454926,0.2698212134838105,rms,922641176,3000,1.151564164161682,1.4213853776454926
3500,1.382437787950039,0.3412312486767768,rms,922641176,3500,1.0412065392732621,1.382437787950039
3500,1.382437787950039,0.508193195015192,rms,922641176,4000,0.9798992609977722,1.4880924560129642
3500,1.382437787950039,0.6136995762586593,rms,922641176,4500,0.8676852971315384,1.4813848733901978
3500,1.382437787950039,0.7691897079348564,rms,922641176,5000,0.7697775661945343,1.5389672741293907
