best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.461251422762871,0.09431157290935532,rms,336498026,500,2.3669398498535155,2.461251422762871
1000,2.424127772450447,0.07583766758441923,rms,336498026,1000,2.348290104866028,2.424127772450447
1500,2.2955436632037163,0.03277655571699123,rms,336498026,1500,2.262767107486725,2.2955436632037163
2000,1.6909720748662949,0.14211902916431418,rms,336498026,2000,1.5488530457019807,1.6909720748662949
2500,1.5251001119613647,0.26413418531417854,rms,336498026,2500,1.2609659266471862,1.5251001119613647
3000,1.4977957531809807,0.3608228334784507,rms,336498026,3000,1.13697291970253,1.4977957531809807
3500,1.4409775473177433,0.37964107885956766,rms,336498026,3500,1.0613364684581756,1.4409775473177433
4000,1.4139295741915703,0.4357478311657905,rms,336498026,4000,0.9781817430257798,1.4139295741915703
4000,1.4139295741915703,0.5697636161744595,rms,336498026,4500,0.8878127145767212,1.4575763307511806
4000,1.4139295741915703,0.7735870563983918,rms,336498026,5000,0.7866487419605255,1.5602357983589172
