best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4880140349268913,0.09984652012586581,meanabs_nocorr,129344154,500,2.3881675148010255,2.4880140349268913
1000,2.4709027856588364,0.1175389522314072,meanabs_nocorr,129344154,1000,2.353363833427429,2.4709027856588364
1500,2.4111658856272697,0.07712439507246005,meanabs_nocorr,129344154,1500,2.3340414905548097,2.4111658856272697
2000,2.377621755003929,0.07934184014797196,meanabs_nocorr,129344154,2000,2.298279914855957,2.377621755003929
2500,2.3050514310598373,0.07263627469539635,meanabs_nocorr,129344154,2500,2.232415156364441,2.3050514310598373
3000,2.261759527027607,0.10782165795564636,meanabs_nocorr,129344154,3000,2.1539378690719606,2.261759527027607
3500,2.112125553190708,0.0597136154770852,meanabs_nocorr,129344154,3500,2.052411937713623,2.112125553190708
4000,1.916596919298172,0.1688142132759094,meanabs_nocorr,129344154,4000,1.7477827060222626,1.916596919298172
4500,1.76085801795125,0.24877779081463824,meanabs_nocorr,129344154,4500,1.5120802271366118,1.76085801795125
5000,1.589087374508381,0.23703332811594002,meanabs_nocorr,129344154,5000,1.3520540463924409,1.589087374508381
