best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4396162554621696,0.06793304175138459,meanabs,130604721,500,2.371683213710785,2.4396162554621696
1000,2.4128566533327103,0.05936512053012866,meanabs,130604721,1000,2.3534915328025816,2.4128566533327103
1500,2.3216161727905273,0.04203142166137708,meanabs,130604721,1500,2.2795847511291503,2.3216161727905273
2000,1.741620022803545,0.16219629004597658,meanabs,130604721,2000,1.5794237327575684,1.741620022803545
2500,1.484143104404211,0.17367750629782686,meanabs,130604721,2500,1.3104655981063842,1.484143104404211
3000,1.4316662959754467,0.2415722899138928,meanabs,130604721,3000,1.190094006061554,1.4316662959754467
3000,1.4316662959754467,0.3412697160243987,meanabs,130604721,3500,1.1005140101909638,1.4417837262153625
4000,1.3633650541305542,0.3410382318496703,meanabs,130604721,4000,1.022326822280884,1.3633650541305542
4000,1.3633650541305542,0.4571053209900856,meanabs,130604721,4500,0.9476342004537582,1.4047395214438438
4000,1.3633650541305542,0.657015401571989,meanabs,130604721,5000,0.8730244266986847,1.5300398282706738
