best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4542598575353622,0.01350728452205674,meanabs_nocorr,1258359901,500,2.4407525730133055,2.4542598575353622
1000,2.3522546514868736,0.02791184753179543,meanabs_nocorr,1258359901,1000,2.324342803955078,2.3522546514868736
1500,2.1996010169386864,0.032538327872753126,meanabs_nocorr,1258359901,1500,2.1670626890659332,2.1996010169386864
2000,2.012453719973564,0.0760960310697556,meanabs_nocorr,1258359901,2000,1.9363576889038085,2.012453719973564
2500,1.7336332984268665,0.07024635151028624,meanabs_nocorr,1258359901,2500,1.6633869469165803,1.7336332984268665
3000,1.4373908787965775,0.11937185704708098,meanabs_nocorr,1258359901,3000,1.3180190217494965,1.4373908787965775
3500,1.2008070014417171,0.15843784198164945,meanabs_nocorr,1258359901,3500,1.0423691594600677,1.2008070014417171
4000,1.0443055033683777,0.163739629983902,meanabs_nocorr,1258359901,4000,0.8805658733844757,1.0443055033683777
4500,0.8948058076202869,0.1524717004597187,meanabs_nocorr,1258359901,4500,0.7423341071605682,0.8948058076202869
5000,0.886045765131712,0.15207001045346258,meanabs_nocorr,1258359901,5000,0.7339757546782494,0.886045765131712
