best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4662414863705635,0.015576466619968254,meanabs_nocorr,370076197,500,2.4506650197505953,2.4662414863705635
1000,2.390192896127701,0.10353740334510819,meanabs_nocorr,370076197,1000,2.2866554927825926,2.390192896127701
1500,2.240045767277479,0.08804034635424607,meanabs_nocorr,370076197,1500,2.152005420923233,2.240045767277479
2000,2.058896839618683,0.1237906265258788,meanabs_nocorr,370076197,2000,1.935106213092804,2.058896839618683
2500,1.7815244309604168,0.08037449523806561,meanabs_nocorr,370076197,2500,1.7011499357223512,1.7815244309604168
3000,1.5143114812672138,0.15695604220032688,meanabs_nocorr,370076197,3000,1.357355439066887,1.5143114812672138
3500,1.210171151906252,0.12168643847107896,meanabs_nocorr,370076197,3500,1.088484713435173,1.210171151906252
4000,1.013436259701848,0.10607663460075856,meanabs_nocorr,370076197,4000,0.9073596251010895,1.013436259701848
4500,0.9222366511821747,0.10512901842594147,meanabs_nocorr,370076197,4500,0.8171076327562332,0.9222366511821747
5000,0.8721783813089132,0.11298963092267511,meanabs_nocorr,370076197,5000,0.7591887503862381,0.8721783813089132
