best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.5500425696372986,0.20366570234298687,meanabs_nocorr,405379411,500,2.3463768672943117,2.5500425696372986
1000,2.373641721904278,0.11139490336179714,meanabs_nocorr,405379411,1000,2.2622468185424807,2.373641721904278
1500,2.221910208463669,0.14907407760620117,meanabs_nocorr,405379411,1500,2.0728361308574677,2.221910208463669
2000,1.863184541463852,0.3092579400539399,meanabs_nocorr,405379411,2000,1.553926601409912,1.863184541463852
2500,1.683451745659113,0.3915952064096928,meanabs_nocorr,405379411,2500,1.2918565392494201,1.683451745659113
3000,1.6818536296486855,0.5489442005753518,meanabs_nocorr,405379411,3000,1.1329094290733337,1.6818536296486855
3000,1.6818536296486855,0.7087265485525132,meanabs_nocorr,405379411,3500,0.989459923505783,1.6981864720582962
3000,1.6818536296486855,0.8982636323571205,meanabs_nocorr,405379411,4000,0.8351240092515946,1.733387641608715
3000,1.6818536296486855,1.4110628592967989,meanabs_nocorr,405379411,4500,0.6567361277341842,2.067798987030983
3000,1.6818536296486855,1.8167240650951864,meanabs_nocorr,405379411,5000,0.4891375085711479,2.305861573666334
