alpha,best_step,best_val_loss,curve_path,device,eval_elapsed_s,eval_ms_step,eval_seq_s,eval_steps_s,eval_tok_s,eval_us_tok,grad_norm,norm,overfit_step,overfit_val_loss,params,peak_alloc_mb,peak_reserved_mb,seed,train_bytes,train_elapsed_s,train_loss,train_ms_step,train_seq_s,train_steps_s,train_tok_s,train_us_tok,val_bytes,val_loss
,2000,1.637385468930006,The_Adventures_of_Sherlock_Holmes\curve_rms_seed598422775.csv,cuda,2.9899695000058273,93.4365468751821,42.809801237019485,10.702450309254871,43837.23646670795,22.811656951948756,0.4757433235645294,rms,3000,2.0317169092595577,90314048,10299.86572265625,10788.0,598422775,539675,1336.380944199991,0.08566705882549286,267.2761888399982,14.965792565960873,3.7414481414902183,15324.971587543934,65.25297579101519,59964,3.1227180808782578
,2000,1.5451175943017006,The_Adventures_of_Sherlock_Holmes\curve_rms_seed1786548453.csv,cuda,2.9846429000026546,93.27009062508296,42.88620256710984,10.72155064177746,43915.47142872048,22.771018219014394,0.47542282938957214,rms,3000,1.9658620283007622,90314048,10299.86572265625,10788.0,1786548453,539675,1311.4590957999899,0.08267434686422348,262.291819159998,15.250189704010557,3.8125474260026393,15616.19425690681,64.03608866210888,59964,3.241718776524067
,2000,1.6453781351447105,The_Adventures_of_Sherlock_Holmes\curve_rms_seed1426323417.csv,cuda,2.9700415000115754,92.81379687536173,43.09704089976559,10.774260224941397,44131.36988135996,22.65961837777386,0.5076884031295776,rms,3000,2.021600518375635,90314048,10299.86572265625,10788.0,1426323417,539675,1322.2112325999915,0.08781565725803375,264.4422465199983,15.126176141063384,3.781544035265846,15489.204368448905,64.56109534179646,59964,3.1091021299362183
,2000,1.6063377186655998,The_Adventures_of_Sherlock_Holmes\curve_rms_seed736896387.csv,cuda,2.9755319000105374,92.98537187532929,43.01751898527679,10.754379746319197,44049.93944092343,22.701506805500316,0.47222375869750977,rms,3000,2.066564407199621,90314048,10299.86572265625,10788.0,736896387,539675,1324.7928107000043,0.0827895924448967,264.9585621400009,15.096700282840638,3.7741750707101596,15459.021089628814,64.68714895996115,59964,3.0629116371273994
,2000,1.6449238248169422,The_Adventures_of_Sherlock_Holmes\curve_rms_seed1722602715.csv,cuda,2.97150889999466,92.85965312483313,43.075758581853826,10.768939645463457,44109.57678781832,22.670813751179963,0.5392675995826721,rms,3000,2.0641143918037415,90314048,10299.86572265625,10788.0,1722602715,539675,1316.4128150000033,0.1028640866279602,263.28256300000066,15.19280257082574,3.798200642706435,15557.429832525559,64.27796948242204,59964,3.216907374560833
,2000,1.6490330323576927,The_Adventures_of_Sherlock_Holmes\curve_rms_seed1639699922.csv,cuda,2.917852699989453,91.1828968746704,43.86787585283612,10.96696896320903,44920.70487330419,22.26144943229258,0.45112350583076477,rms,3000,1.8798187114298344,90314048,10299.86572265625,10788.0,1639699922,539675,1305.082002199997,0.0770677775144577,261.0164004399994,15.324707540434769,3.8311768851086923,15692.500521405203,63.72470713867173,59964,3.0632467418909073
,2000,1.6091368161141872,The_Adventures_of_Sherlock_Holmes\curve_rms_seed1048955721.csv,cuda,2.9107924999989336,90.96226562496668,43.97427848259431,10.993569620648577,45029.66116617657,22.20758438109538,0.5012699961662292,rms,3000,1.98578767105937,90314048,10299.86572265625,10788.0,1048955721,539675,1297.1687100999989,0.09836326539516449,259.4337420199997,15.418194907321036,3.854548726830259,15788.23158509674,63.3383159228515,59964,2.9938552901148796
,2000,1.58136335760355,The_Adventures_of_Sherlock_Holmes\curve_rms_seed370076197.csv,cuda,2.982650999998441,93.20784374995128,42.91484320494315,10.728710801235788,43944.79944186179,22.75582122801545,0.5297565460205078,rms,3000,1.953859142959118,90314048,10299.86572265625,10788.0,370076197,539675,1305.7403455000021,0.10328324884176254,261.14806910000044,15.316980951784466,3.8292452379461164,15684.588494627293,63.75685280761729,59964,3.0685148760676384
,2000,1.6027731522917747,The_Adventures_of_Sherlock_Holmes\curve_rms_seed188292180.csv,cuda,2.9592491000075825,92.47653437523695,43.25421607788004,10.81355401947001,44292.31726374916,22.577278900204334,0.5740381479263306,rms,3000,2.0055899135768414,90314048,10299.86572265625,10788.0,188292180,539675,1304.390817499996,0.10829577594995499,260.87816349999923,15.332827962046014,3.8332069905115036,15700.815833135119,63.690957885741994,59964,3.2065241783857346
,2000,1.628904800862074,The_Adventures_of_Sherlock_Holmes\curve_rms_seed482242919.csv,cuda,2.8673052999947686,89.60329062483652,44.64121766183515,11.160304415458787,45712.60688571919,21.875803375204228,0.5104696154594421,rms,3000,2.0009749457240105,90314048,10299.86572265625,10788.0,482242919,539675,1303.4730789000023,0.10010746866464615,260.69461578000045,15.343623373394063,3.835905843348516,15711.87033435552,63.646146430664174,59964,3.175233945250511
