norm                    seed      train        val   best_val  best_step       grad   tr_ms/st     tr_tok/s   tr_us/tok   ev_ms/st     ev_tok/s   ev_us/tok   alloc_mb   reserved    overfit
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
meanabs           1970508508     0.1271     3.0700     1.6535       2000     0.6852     256.09      15994.1      62.523      89.62      45705.1      21.879    10300.4    10436.0       3000
meanabs           2022903755     0.0977     3.0218     1.5644       2000     0.5010     256.08      15995.1      62.519      89.61      45709.9      21.877    10300.4    10436.0       3000
meanabs_nocorr     129344154     0.7894     1.8617     1.5860       3500     0.8840     256.91      15943.4      62.722      89.94      45542.8      21.957    10300.4    10436.0       4500
meanabs_nocorr     130604721     0.4955     2.2061     1.6345       3000     0.8179     259.11      15807.8      63.260      90.65      45182.5      22.132    10300.4    10436.0       4500
meanabs_nocorr     188292180     0.4637     2.1473     1.6169       3500     0.7617     265.55      15424.6      64.831      92.14      44453.1      22.496    10300.4    10436.0       4500
meanabs_nocorr     273318888     0.5425     2.0789     1.6220       3500     0.9056     256.81      15949.4      62.698      89.95      45535.3      21.961    10300.4    10436.0       4500
meanabs_nocorr     281919623     0.4841     2.2050     1.6107       3000     0.9412     265.42      15432.3      64.799      93.39      43860.5      22.800    10300.4    10436.0       4000
meanabs_nocorr     336498026     0.3520     2.2946     1.6130       3000     0.7855     256.26      15983.8      62.564      89.81      45606.9      21.926    10300.4    10436.0       4000
meanabs_nocorr     370076197     0.7927     1.8408     1.5770       4000     0.6965     264.59      15480.8      64.596      94.11      43522.1      22.977    10300.4    10436.0       5000
meanabs_nocorr     405379411     0.6835     1.8989     1.6189       4000     0.7556     258.32      15856.6      63.065      90.57      45224.8      22.112    10300.4    10436.0       5000
meanabs_nocorr     482242919     0.5874     2.0031     1.6036       3500     0.8091     263.02      15572.7      64.215      90.02      45498.9      21.979    10300.4    10436.0       4500
meanabs_nocorr     598422775     0.7020     1.7612     1.6250       4000     0.7042     255.89      16006.9      62.473      89.68      45671.1      21.896    10300.4    10436.0       5000
meanabs_nocorr     676750256     0.6664     1.9356     1.6109       3500     0.7626     257.96      15878.6      62.978      90.33      45345.3      22.053    10300.4    10436.0       4500
meanabs_nocorr     736896387     0.8371     1.6757     1.6290       3500     0.7416     255.88      16007.4      62.471      89.66      45682.1      21.890    10300.4    10436.0       4500
