best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.450073264539242,0.11680569976568211,meanabs,676750256,500,2.3332675647735597,2.450073264539242
1000,2.028312496840954,0.25241677850484856,meanabs,676750256,1000,1.7758957183361053,2.028312496840954
1500,1.6704094298183918,0.36261694148182877,meanabs,676750256,1500,1.307792488336563,1.6704094298183918
2000,1.6585518531501293,0.5995147548615933,meanabs,676750256,2000,1.059037098288536,1.6585518531501293
2000,1.6585518531501293,0.9840487061440945,meanabs,676750256,2500,0.8351070874929428,1.8191557936370373
2000,1.6585518531501293,1.4492394664883612,meanabs,676750256,3000,0.5855442172288895,2.034783683717251
2000,1.6585518531501293,2.1376456090807916,meanabs,676750256,3500,0.3446912287175655,2.482336837798357
2000,1.6585518531501293,2.380118973776698,meanabs,676750256,4000,0.2032445592433214,2.5833635330200195
2000,1.6585518531501293,2.9923793360590936,meanabs,676750256,4500,0.14829601496458053,3.140675351023674
2000,1.6585518531501293,2.901030918955803,meanabs,676750256,5000,0.11802632510662078,3.0190572440624237
