best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.5410219207406044,0.20058975845575322,meanabs_nocorr,1258359901,500,2.340432162284851,2.5410219207406044
1000,2.4192602708935738,0.12874495297670352,meanabs_nocorr,1258359901,1000,2.2905153179168702,2.4192602708935738
1500,2.1211344487965107,0.1621823365986348,meanabs_nocorr,1258359901,1500,1.958952112197876,2.1211344487965107
2000,1.80767085775733,0.3178386233747006,meanabs_nocorr,1258359901,2000,1.4898322343826294,1.80767085775733
2000,1.80767085775733,0.5613946290314198,meanabs_nocorr,1258359901,2500,1.2531896448135376,1.8145842738449574
3000,1.6384970098733902,0.5499292290210724,meanabs_nocorr,1258359901,3000,1.0885677808523178,1.6384970098733902
3000,1.6384970098733902,0.9466671635210514,meanabs_nocorr,1258359901,3500,0.9413758116960526,1.888042975217104
3000,1.6384970098733902,1.2184007923305034,meanabs_nocorr,1258359901,4000,0.7531694573163986,1.971570249646902
3000,1.6384970098733902,1.517200305312872,meanabs_nocorr,1258359901,4500,0.5762449324131012,2.093445237725973
3000,1.6384970098733902,2.0502045419812203,meanabs_nocorr,1258359901,5000,0.3840127322077751,2.4342172741889954
