alpha,best_step,best_val_loss,curve_path,device,eval_elapsed_s,eval_ms_step,eval_seq_s,eval_steps_s,eval_tok_s,eval_us_tok,grad_norm,norm,overfit_step,overfit_val_loss,params,peak_alloc_mb,peak_reserved_mb,seed,train_bytes,train_elapsed_s,train_loss,train_ms_step,train_seq_s,train_steps_s,train_tok_s,train_us_tok,val_bytes,val_loss
,2000,1.6059147454798222,norm_runs_cityofgod\curve_rms_seed598422775.csv,cuda,2.951672499999404,92.23976562498137,43.36524461979635,10.841311154949087,44406.01049067146,22.519474029536468,0.5043496489524841,rms,3000,2.0016359761357307,90314048,10299.86572265625,10788.0,598422775,538457,1331.2617082999786,0.0996924489736557,266.25234165999575,15.023342048604404,3.755835512151101,15383.90225777091,65.0030131005849,59829,3.1382528468966484
,2000,1.641486071050167,norm_runs_cityofgod\curve_rms_seed1786548453.csv,cuda,2.906955700018443,90.84236562557635,44.032318758482596,11.008079689620649,45089.09440868618,22.178311920306726,0.5045196413993835,rms,3000,1.9751135669648647,90314048,10299.86572265625,10788.0,1786548453,538457,1307.1376337999827,0.09559980034828186,261.4275267599965,15.300607589315561,3.8251518973288903,15667.822171459135,63.82507977538978,59829,3.0967989042401314
,2000,1.6826347634196281,norm_runs_cityofgod\curve_rms_seed1426323417.csv,cuda,2.9585230000084266,92.45384375026333,43.26483180953314,10.816207952383285,44303.18777296194,22.571739196841634,0.454843133687973,rms,3000,2.0353266075253487,90314048,10299.86572265625,10788.0,1426323417,538457,1299.753585700004,0.08174322545528412,259.9507171400008,15.387532083036083,3.8468830207590208,15756.83285302895,63.464530551758,59829,3.1087577417492867
,2000,1.7061428278684616,norm_runs_cityofgod\curve_rms_seed736896387.csv,cuda,2.918858899967745,91.21434062399203,43.8527535542792,10.9631883885698,44905.2196395819,22.269126128904304,0.5819769501686096,rms,3000,2.2729027830064297,90314048,10299.86572265625,10788.0,736896387,538457,1319.1580115999677,0.10927195847034454,263.8316023199935,15.16118601724034,3.790296504310085,15525.054481654108,64.41201228515467,59829,3.2595167756080627
,2000,1.631714642047882,norm_runs_cityofgod\curve_rms_seed1722602715.csv,cuda,2.9353110999800265,91.72847187437583,43.606962137972694,10.901740534493173,44653.52922928404,22.394646453705036,0.459602028131485,rms,3000,2.1412778571248055,90314048,10299.86572265625,10788.0,1722602715,538457,1331.4046855000197,0.0857599675655365,266.28093710000394,15.021728718409038,3.7554321796022596,15382.250207650855,65.00999440918065,59829,3.3619360625743866
,2000,1.6685506105422974,norm_runs_cityofgod\curve_rms_seed1639699922.csv,cuda,2.9606614999938756,92.52067187480861,43.23358141424299,10.808395353560748,44271.18736818482,22.588054656935697,0.571109414100647,rms,3000,2.0293502658605576,90314048,10299.86572265625,10788.0,1639699922,538457,1318.9497683999944,0.12219782173633575,263.78995367999886,15.163579750472085,3.790894937618021,15527.505664483415,64.40184416015597,59829,3.1804511323571205
,2000,1.6516907699406147,norm_runs_cityofgod\curve_rms_seed1048955721.csv,cuda,2.8983414999675006,90.57317187398439,44.163187809799254,11.040796952449814,45223.104317234436,22.11259078954697,0.4728492200374603,rms,3000,2.1406042017042637,90314048,10299.86572265625,10788.0,1048955721,538457,1289.098827400012,0.09344696998596191,257.8197654800024,15.51471429101993,3.8786785727549824,15887.067434004408,62.944278681641215,59829,3.2759986966848373
,2000,1.6637638546526432,norm_runs_cityofgod\curve_rms_seed370076197.csv,cuda,3.004949000023771,93.90465625074285,42.596396810390935,10.649099202597734,43618.71033384032,22.925941467466515,0.5684147477149963,rms,3000,2.2041773833334446,90314048,10299.86572265625,10788.0,370076197,538457,1317.4324439000338,0.11163492500782013,263.48648878000677,15.181044077519006,3.7952610193797516,15545.389135379462,64.32775604980634,59829,3.0457254871726036
,2000,1.6719326488673687,norm_runs_cityofgod\curve_rms_seed188292180.csv,cuda,3.063700800004881,95.74065000015253,41.77953669620613,10.444884174051532,42782.24557691508,23.374182128943488,0.6459921598434448,rms,3000,2.102726995944977,90314048,10299.86572265625,10788.0,188292180,538457,1338.1663440000266,0.12346533685922623,267.63326880000534,14.945825001259786,3.7364562503149465,15304.524801290021,65.3401535156263,59829,3.0948981568217278
,2000,1.6236989200115204,norm_runs_cityofgod\curve_rms_seed482242919.csv,cuda,2.9050982000189833,90.78431875059323,44.06047272314705,11.015118180786763,45117.92406850258,22.16414031996905,0.5456817150115967,rms,3000,2.0122277326881886,90314048,10299.86572265625,10788.0,482242919,538457,1327.490739699977,0.10409750044345856,265.49814793999536,15.066018467684492,3.766504616921123,15427.60291090892,64.81888377441294,59829,3.1957746744155884
