norm                    seed      train        val   best_val  best_step       grad   tr_ms/st     tr_tok/s   tr_us/tok   ev_ms/st     ev_tok/s   ev_us/tok   alloc_mb   reserved    overfit
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
meanabs           1970508508     0.0993     3.0641     1.5571       2000     0.5301     265.66      15418.2      64.858      92.67      44198.3      22.625    10300.4    10436.0       3000
meanabs           2022903755     0.1056     2.8998     1.6302       1500     0.5578     263.28      15557.8      64.276      90.90      45060.3      22.192    10300.4    10436.0       2500
meanabs_nocorr     129344154     0.3920     2.3400     1.6714       3500     0.7775     264.09      15509.7      64.476      89.52      45755.7      21.855    10300.4    10436.0       4500
meanabs_nocorr     130604721     0.2358     2.5880     1.6808       2500     0.8409     262.20      15621.6      64.014      95.27      42994.9      23.259    10300.4    10436.0       3500
meanabs_nocorr     188292180     0.3601     2.4144     1.6845       3000     0.8651     261.50      15663.4      63.843      92.41      44324.3      22.561    10300.4    10436.0       4000
meanabs_nocorr     273318888     0.3955     2.3463     1.6372       3000     0.8339     258.32      15856.6      63.065      93.77      43682.5      22.892    10300.4    10436.0       4000
meanabs_nocorr     281919623     0.2362     2.8282     1.6535       2500     0.8543     263.89      15521.6      64.427      92.43      44315.1      22.566    10300.4    10436.0       3500
meanabs_nocorr     336498026     0.4498     2.2303     1.6982       3000     0.7798     263.71      15532.4      64.381      90.71      45154.7      22.146    10300.4    10436.0       4000
meanabs_nocorr     370076197     0.3551     2.4150     1.7220       3000     0.8843     260.36      15732.2      63.564      91.32      44855.0      22.294    10300.4    10436.0       4000
meanabs_nocorr     405379411     0.4980     2.1520     1.6819       3000     0.9958     258.53      15843.3      63.118      90.53      45244.5      22.102    10300.4    10436.0       4000
meanabs_nocorr     482242919     0.3077     2.4481     1.6534       2500     0.7505     261.30      15675.5      63.794      90.64      45187.9      22.130    10300.4    10436.0       3500
meanabs_nocorr     598422775     0.5654     2.0663     1.6310       3000     0.8318     261.49      15663.9      63.841      93.63      43746.9      22.859    10300.4    10436.0       4000
meanabs_nocorr     676750256     0.3580     2.4062     1.6136       3000     0.8537     258.08      15871.2      63.007      91.09      44965.8      22.239    10300.4    10436.0       4000
meanabs_nocorr     736896387     0.4259     2.4105     1.7789       3000     0.8272     261.78      15646.8      63.911      90.66      45178.7      22.134    10300.4    10436.0       4000
meanabs_nocorr     741210827     0.5696     2.1300     1.6469       3500     0.8913     258.01      15875.7      62.990      90.63      45193.6      22.127    10300.4    10436.0       4500
meanabs_nocorr     922641176     0.4056     2.1953     1.6521       3500     0.7691     262.57      15599.5      64.105      91.57      44731.3      22.356    10300.4    10436.0       4500
meanabs_nocorr    1048955721     0.2852     2.6014     1.6929       3000     0.7936     260.28      15736.9      63.545      90.94      45042.7      22.201    10300.4    10436.0       4000
meanabs_nocorr    1109572572     0.4209     2.4235     1.6688       3000     0.8714     259.88      15760.8      63.448      90.62      45199.2      22.124    10300.4    10436.0       4000
meanabs_nocorr    1162914961     0.2729     2.4568     1.7141       2500     0.8208     268.87      15234.2      65.642      92.74      44164.4      22.643    10300.4    10436.0       3500
meanabs_nocorr    1225032379     0.3039     2.6066     1.6277       3000     0.8752     263.74      15530.6      64.389      91.81      44613.3      22.415    10300.4    10436.0       4000
meanabs_nocorr    1258359901     0.4493     2.3099     1.6385       3000     1.0210     262.30      15615.9      64.037      91.86      44588.4      22.427    10300.4    10436.0       4000
meanabs_nocorr    1301334618     0.4051     2.2162     1.6761       2500     0.8015     263.66      15535.4      64.369      92.05      44495.9      22.474    10300.4    10436.0       3500
meanabs_nocorr    1310941852     0.3938     2.2920     1.6267       3500     0.8348     270.81      15124.7      66.117      94.52      43333.5      23.077    10300.4    10436.0       4500
meanabs_nocorr    1426323417     0.2988     2.3653     1.6586       3000     0.7531     265.95      15401.4      64.929      90.93      45044.2      22.200    10300.4    10436.0       4000
meanabs_nocorr    1431649702     0.5487     2.2829     1.6202       3500     0.9299     261.68      15652.5      63.887      91.10      44963.6      22.240    10300.4    10436.0       4500
meanabs_nocorr    1497939373     0.5295     2.1928     1.5907       3500     0.9429     258.80      15827.1      63.183      91.37      44829.5      22.307    10300.4    10436.0       4500
meanabs_nocorr    1639699922     0.4557     2.2525     1.6440       3000     0.8757     261.23      15679.6      63.777      91.12      44951.4      22.246    10300.4    10436.0       4000
meanabs_nocorr    1718616343     0.3578     2.3233     1.5501       2500     0.7560     268.32      15265.4      65.508      93.84      43650.5      22.909    10300.4    10436.0       3500
meanabs_nocorr    1722602715     0.2157     2.6580     1.7154       2500     0.7213     259.00      15814.6      63.233      91.05      44985.2      22.230    10300.4    10436.0       4500
meanabs_nocorr    1786548453     0.3541     2.3269     1.5953       3000     0.8088     265.16      15447.4      64.736      90.59      45216.0      22.116    10300.4    10436.0       4000
meanabs_nocorr    1970508508     0.2476     2.4173     1.6548       2500     0.7347     268.42      15259.8      65.532      94.23      43466.6      23.006    10300.4    10436.0       4000
meanabs_nocorr    2022903755     0.5623     1.9197     1.5843       3500     0.7828     263.51      15543.8      64.334      91.58      44726.7      22.358    10300.4    10436.0       4500
rms                129344154     0.0899     3.2605     1.6797       2000     0.4977     259.41      15789.8      63.332      91.50      44765.1      22.339    10299.9    10788.0       3000
rms                130604721     0.1026     2.9726     1.6284       2000     0.5690     258.56      15841.5      63.125      90.79      45115.6      22.165    10299.9    10788.0       3000
rms                188292180     0.1235     3.0949     1.6719       2000     0.6460     267.63      15304.5      65.340      95.74      42782.2      23.374    10299.9    10788.0       3000
rms                273318888     0.1216     3.0834     1.6345       2000     0.5767     259.50      15783.9      63.356      90.53      45245.6      22.102    10299.9    10788.0       3000
rms                281919623     0.1027     3.1910     1.7151       2000     0.5370     260.03      15752.0      63.484      90.46      45279.6      22.085    10299.9    10788.0       3000
rms                336498026     0.1080     3.1072     1.7025       2000     0.5389     258.52      15844.1      63.115      89.87      45576.8      21.941    10299.9    10788.0       3000
rms                370076197     0.1116     3.0457     1.6638       2000     0.5684     263.49      15545.4      64.328      93.90      43618.7      22.926    10299.9    10788.0       3000
rms                405379411     0.0999     3.1016     1.6730       1500     0.5614     256.81      15949.7      62.697      90.58      45220.6      22.114    10299.9    10788.0       2500
rms                482242919     0.1041     3.1958     1.6237       2000     0.5457     265.50      15427.6      64.819      90.78      45117.9      22.164    10299.9    10788.0       3000
rms                598422775     0.0997     3.1383     1.6059       2000     0.5043     266.25      15383.9      65.003      92.24      44406.0      22.519    10299.9    10788.0       3000
