best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.413825824856758,-0.00674684822559346,rms,129344154,500,2.4205726730823516,2.413825824856758
1000,2.316208317875862,0.07282278835773459,rms,129344154,1000,2.2433855295181275,2.316208317875862
1500,1.895679209381342,0.03012479200959195,rms,129344154,1500,1.86555441737175,1.895679209381342
2000,1.4992615170776844,0.14632526293396952,rms,129344154,2000,1.3529362541437149,1.4992615170776844
2500,1.0525092724710703,0.06912743665277954,rms,129344154,2500,0.9833818358182908,1.0525092724710703
3000,0.9253089688718319,0.11502420440316197,rms,129344154,3000,0.8102847644686699,0.9253089688718319
3500,0.8488752637058496,0.15607865639030938,rms,129344154,3500,0.6927966073155403,0.8488752637058496
4000,0.8151852320879698,0.1770360355824232,rms,129344154,4000,0.6381491965055466,0.8151852320879698
4500,0.7803609352558851,0.1713736592978239,rms,129344154,4500,0.6089872759580612,0.7803609352558851
4500,0.7803609352558851,0.2347015953809023,rms,129344154,5000,0.5481836301088333,0.7828852254897356
