best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.429206095635891,0.009306431710720098,rms,1310941852,500,2.419899663925171,2.429206095635891
1000,2.2403688989579678,0.01316989764571197,rms,1310941852,1000,2.227199001312256,2.2403688989579678
1500,1.850128710269928,0.029231796264648446,rms,1310941852,1500,1.8208969140052795,1.850128710269928
2000,1.390586357563734,0.05046202525496479,rms,1310941852,2000,1.3401243323087693,1.390586357563734
2500,1.1009579226374626,0.14171914786100392,rms,1310941852,2500,0.9592387747764587,1.1009579226374626
3000,0.9238564502447844,0.09871182762086395,rms,1310941852,3000,0.8251446226239204,0.9238564502447844
3500,0.8352901227772236,0.13369822934269904,rms,1310941852,3500,0.7015918934345245,0.8352901227772236
4000,0.8077610898762941,0.1515296155959368,rms,1310941852,4000,0.6562314742803573,0.8077610898762941
4500,0.7943860851228237,0.19781544759869574,rms,1310941852,4500,0.596570637524128,0.7943860851228237
5000,0.7558272890746593,0.18202171280980106,rms,1310941852,5000,0.5738055762648583,0.7558272890746593
