best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.509189985692501,0.19741694301366808,meanabs_nocorr,273318888,500,2.311773042678833,2.509189985692501
1000,2.445531129837036,0.19187914848327647,meanabs_nocorr,273318888,1000,2.2536519813537597,2.445531129837036
1500,2.3553384989500046,0.21763570249080644,meanabs_nocorr,273318888,1500,2.137702796459198,2.3553384989500046
2000,1.9752216450870037,0.18146412059664718,meanabs_nocorr,273318888,2000,1.7937575244903565,1.9752216450870037
2500,1.7061868496239185,0.27316662743687625,meanabs_nocorr,273318888,2500,1.4330202221870423,1.7061868496239185
3000,1.664350375533104,0.45907614886760717,meanabs_nocorr,273318888,3000,1.2052742266654968,1.664350375533104
3500,1.6219750419259071,0.5822039440274238,meanabs_nocorr,273318888,3500,1.0397710978984833,1.6219750419259071
3500,1.6219750419259071,0.7919092184305191,meanabs_nocorr,273318888,4000,0.8872258359193802,1.6791350543498993
3500,1.6219750419259071,1.2420585806667805,meanabs_nocorr,273318888,4500,0.7009935063123703,1.9430520869791508
3500,1.6219750419259071,1.7319083897769452,meanabs_nocorr,273318888,5000,0.49676287412643433,2.2286712639033794
