best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.50080144405365,0.1954961585998536,meanabs_nocorr,1431649702,500,2.3053052854537963,2.50080144405365
1000,2.440597213804722,0.1602292624115944,meanabs_nocorr,1431649702,1000,2.2803679513931274,2.440597213804722
1500,2.377885617315769,0.2146344771981239,meanabs_nocorr,1431649702,1500,2.1632511401176453,2.377885617315769
2000,2.2127691209316254,0.14370616078376752,meanabs_nocorr,1431649702,2000,2.069062960147858,2.2127691209316254
2500,2.09560738876462,0.21742157652974137,meanabs_nocorr,1431649702,2500,1.8781858122348785,2.09560738876462
3000,1.7530825287103653,0.220476480126381,meanabs_nocorr,1431649702,3000,1.5326060485839843,1.7530825287103653
3500,1.6649009995162487,0.35076211854815487,meanabs_nocorr,1431649702,3500,1.3141388809680938,1.6649009995162487
4000,1.6360329575836658,0.4846597559750081,meanabs_nocorr,1431649702,4000,1.1513732016086577,1.6360329575836658
4000,1.6360329575836658,0.6794907240569592,meanabs_nocorr,1431649702,4500,1.0161137306690216,1.6956044547259808
4000,1.6360329575836658,0.9231752298772335,meanabs_nocorr,1431649702,5000,0.8823935955762863,1.8055688254535198
