best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.460805982351303,0.15682715773582467,meanabs_nocorr,129344154,500,2.3039788246154784,2.460805982351303
1000,2.4298587664961815,0.15505595296621344,meanabs_nocorr,129344154,1000,2.274802813529968,2.4298587664961815
1500,2.3661282807588577,0.21390826284885422,meanabs_nocorr,129344154,1500,2.1522200179100035,2.3661282807588577
2000,2.2436647415161133,0.23336215615272504,meanabs_nocorr,129344154,2000,2.0103025853633882,2.2436647415161133
2500,1.843832392245531,0.22162066891789434,meanabs_nocorr,129344154,2500,1.6222117233276367,1.843832392245531
3000,1.6860422529280186,0.335121916681528,meanabs_nocorr,129344154,3000,1.3509203362464905,1.6860422529280186
3500,1.585986465215683,0.40730479121208196,meanabs_nocorr,129344154,3500,1.178681674003601,1.585986465215683
3500,1.585986465215683,0.6134753595292568,meanabs_nocorr,129344154,4000,1.0196531456708908,1.6331285052001476
3500,1.585986465215683,0.8476379244029522,meanabs_nocorr,129344154,4500,0.8709748321771622,1.7186127565801144
3500,1.585986465215683,1.1927261027693747,meanabs_nocorr,129344154,5000,0.6928163570165634,1.8855424597859383
