best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4654336497187614,0.16216917723417268,meanabs_nocorr,736896387,500,2.3032644724845888,2.4654336497187614
1000,2.3982774689793587,0.1420182135701178,meanabs_nocorr,736896387,1000,2.256259255409241,2.3982774689793587
1500,2.296032428741455,0.16771470069885241,meanabs_nocorr,736896387,1500,2.1283177280426027,2.296032428741455
2000,2.186679981648922,0.18429591029882442,meanabs_nocorr,736896387,2000,2.0023840713500975,2.186679981648922
2500,1.9337977766990662,0.1799172937870026,meanabs_nocorr,736896387,2500,1.7538804829120636,1.9337977766990662
3000,1.7562319971621037,0.29448145166039463,meanabs_nocorr,736896387,3000,1.461750545501709,1.7562319971621037
3500,1.6289801001548767,0.34667527914047236,meanabs_nocorr,736896387,3500,1.2823048210144044,1.6289801001548767
3500,1.6289801001548767,0.554714894592762,meanabs_nocorr,736896387,4000,1.13362826526165,1.688343159854412
3500,1.6289801001548767,0.6886963817477225,meanabs_nocorr,736896387,4500,1.0106474858522416,1.6993438675999641
3500,1.6289801001548767,0.9022873347997665,meanabs_nocorr,736896387,5000,0.8550677293539047,1.7573550641536713
