best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.429523505270481,0.06603011518716828,rms,188292180,500,2.363493390083313,2.429523505270481
500,2.429523505270481,0.10788910955190678,rms,188292180,1000,2.3444293427467344,2.452318452298641
1500,2.3362578749656677,0.05245566844940175,rms,188292180,1500,2.283802206516266,2.3362578749656677
2000,1.6919599063694477,0.13011680677533155,rms,188292180,2000,1.5618430995941162,1.6919599063694477
2500,1.5108539909124374,0.23966445982456208,rms,188292180,2500,1.2711895310878754,1.5108539909124374
3000,1.4535721726715565,0.3164552797377109,rms,188292180,3000,1.1371168929338455,1.4535721726715565
3500,1.3885441049933434,0.33194110244512554,rms,188292180,3500,1.0566030025482178,1.3885441049933434
3500,1.3885441049933434,0.42008316934108736,rms,188292180,4000,0.9685566830635071,1.3886398524045944
3500,1.3885441049933434,0.5776898413896561,rms,188292180,4500,0.8797296732664108,1.457419514656067
3500,1.3885441049933434,0.8537575927376747,rms,188292180,5000,0.7739259946346283,1.627683587372303
