best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4888182282447815,0.10438532829284686,rms,1426323417,500,2.3844328999519346,2.4888182282447815
1000,2.3925741314888,0.038862297534942414,rms,1426323417,1000,2.3537118339538576,2.3925741314888
1500,2.3559547141194344,0.07131090909242621,rms,1426323417,1500,2.284643805027008,2.3559547141194344
2000,1.6801133677363396,0.10681592911481852,rms,1426323417,2000,1.573297438621521,1.6801133677363396
2500,1.5186745896935463,0.23163620024919518,rms,1426323417,2500,1.2870383894443511,1.5186745896935463
3000,1.4302387088537216,0.28343410193920127,rms,1426323417,3000,1.1468046069145204,1.4302387088537216
3000,1.4302387088537216,0.3969701826572418,rms,1426323417,3500,1.073306292295456,1.4702764749526978
3000,1.4302387088537216,0.564543809145689,rms,1426323417,4000,0.9744842654466629,1.539028074592352
3000,1.4302387088537216,0.569214044213295,rms,1426323417,4500,0.8958755749464035,1.4650896191596985
3000,1.4302387088537216,0.7875488194823265,rms,1426323417,5000,0.7923423629999161,1.5798911824822426
