best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4411077722907066,0.1448407706618311,meanabs,1497939373,500,2.2962670016288755,2.4411077722907066
1000,2.118530422449112,0.1050862252712248,meanabs,1497939373,1000,2.013444197177887,2.118530422449112
1500,1.6814614050090313,0.2730024699866771,meanabs,1497939373,1500,1.4084589350223542,1.6814614050090313
2000,1.5854840241372585,0.46296427354216574,meanabs,1497939373,2000,1.1225197505950928,1.5854840241372585
2000,1.5854840241372585,0.8108395059406758,meanabs,1497939373,2500,0.8863442409038543,1.69718374684453
2000,1.5854840241372585,1.2912175086140634,meanabs,1497939373,3000,0.605407101213932,1.8966246098279953
2000,1.5854840241372585,1.8788211725652217,meanabs,1497939373,3500,0.35529337748885154,2.2341145500540733
2000,1.5854840241372585,2.41351047411561,meanabs,1497939373,4000,0.21530261382460594,2.628813087940216
2000,1.5854840241372585,2.7277673710137607,meanabs,1497939373,4500,0.1309743445366621,2.8587417155504227
2000,1.5854840241372585,2.979898971319199,meanabs,1497939373,5000,0.11285496056079865,3.0927539318799973
