best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.476811170578003,0.1784428644180296,meanabs,1258359901,500,2.2983683061599733,2.476811170578003
1000,2.0776935294270515,0.06024481445550922,meanabs,1258359901,1000,2.0174487149715423,2.0776935294270515
1500,1.709809947758913,0.3098694975674152,meanabs,1258359901,1500,1.3999404501914978,1.709809947758913
2000,1.597182210534811,0.4718398587405681,meanabs,1258359901,2000,1.125342351794243,1.597182210534811
2000,1.597182210534811,0.8551347248256207,meanabs,1258359901,2500,0.8983190327882766,1.7534537576138973
2000,1.597182210534811,1.2703575569391252,meanabs,1258359901,3000,0.6378304955363273,1.9081880524754524
2000,1.597182210534811,1.7812477912008762,meanabs,1258359901,3500,0.3827425014972687,2.163990292698145
2000,1.597182210534811,2.3865539653599264,meanabs,1258359901,4000,0.22449034467339515,2.6110443100333214
2000,1.597182210534811,2.702433441504836,meanabs,1258359901,4500,0.14947001941502094,2.851903460919857
2000,1.597182210534811,2.855813932940364,meanabs,1258359901,5000,0.11906226970255375,2.9748762026429176
